Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.89,-0.45,-0.52,-0.72,-0.41,-0.54,-0.53,0.02,-0.54,-0.72,-0.56,-0.58,-0.54,***,***,-0.55,-0.35,-0.61
1881,-0.84,-0.68,-0.42,-0.34,-0.11,-1.19,-0.59,-0.31,-0.38,-0.55,-0.64,-0.21,-0.52,-0.55,-0.7,-0.29,-0.7,-0.52
1882,0.03,-0.19,-0.15,-0.65,-0.44,-1.09,-0.77,-0.18,-0.14,-0.39,-0.46,-0.73,-0.43,-0.39,-0.12,-0.41,-0.68,-0.33
1883,-0.74,-1.01,-0.52,-0.38,-0.41,0.39,-0.07,-0.22,-0.51,-0.64,-0.76,-0.45,-0.44,-0.47,-0.83,-0.43,0.03,-0.64
1884,-0.67,-0.42,-0.46,-1.01,-1.26,-0.88,-0.91,0.09,-0.43,-0.84,-0.88,-1.05,-0.73,-0.68,-0.51,-0.91,-0.57,-0.72
1885,-0.98,-0.85,-0.96,-0.93,-0.55,-0.99,-0.67,-0.22,-0.21,-0.09,-0.44,-0.04,-0.58,-0.66,-0.96,-0.81,-0.63,-0.25
1886,-0.81,-0.88,-0.73,-0.67,-0.63,-0.9,-0.45,-0.78,-0.47,-0.91,-0.55,-0.8,-0.72,-0.65,-0.58,-0.68,-0.71,-0.64
1887,-0.91,-1.31,-0.63,-0.88,-0.9,-0.71,-0.45,-0.3,-0.66,-0.58,-0.96,-0.7,-0.75,-0.76,-1.01,-0.8,-0.49,-0.73
1888,-0.76,-0.85,-0.93,-0.34,-0.79,-0.58,-0.38,-0.38,-0.44,-0.3,-0.09,-0.27,-0.51,-0.54,-0.77,-0.69,-0.45,-0.28
1889,-0.31,0.14,0.07,0.11,0.06,-0.27,-0.45,-0.62,-0.38,-0.22,-0.46,-0.45,-0.23,-0.22,-0.15,0.08,-0.44,-0.36
1890,-0.62,-0.65,-0.63,-0.54,-0.93,-0.58,-0.61,-0.62,-0.35,-0.28,-0.78,-0.54,-0.59,-0.59,-0.57,-0.7,-0.6,-0.47
1891,-0.98,-1.07,-0.54,-0.7,-0.5,-0.59,-0.76,-0.6,-0.53,-0.57,-0.56,0.02,-0.62,-0.66,-0.87,-0.58,-0.65,-0.55
1892,-0.62,-0.32,-0.59,-0.72,-0.66,-0.57,-0.4,-0.29,-0.5,-0.37,-0.65,-0.62,-0.53,-0.47,-0.31,-0.65,-0.42,-0.51
1893,-1.45,-1.02,-0.62,-0.69,-0.76,-0.7,-0.17,-0.35,-0.29,-0.13,-0.17,-0.41,-0.56,-0.58,-1.03,-0.69,-0.41,-0.2
1894,-0.9,-0.65,-0.43,-0.68,-0.69,-0.5,-0.4,-0.34,-0.46,-0.12,-0.18,-0.2,-0.46,-0.48,-0.65,-0.6,-0.41,-0.25
1895,-0.72,-0.82,-0.53,-0.5,-0.34,-0.31,-0.55,-0.22,-0.17,-0.13,-0.2,-0.11,-0.38,-0.39,-0.58,-0.46,-0.36,-0.17
1896,-0.26,-0.31,-0.55,-0.5,-0.49,-0.5,-0.24,-0.41,-0.13,-0.07,-0.48,-0.24,-0.35,-0.34,-0.22,-0.52,-0.38,-0.23
1897,-0.28,-0.54,-0.34,-0.15,-0.3,-0.21,-0.15,-0.35,-0.18,-0.26,-0.05,-0.27,-0.26,-0.25,-0.35,-0.27,-0.24,-0.17
1898,-0.15,-0.48,-0.83,-0.58,-0.66,-0.33,-0.37,-0.26,-0.06,-0.44,-0.51,-0.25,-0.41,-0.41,-0.3,-0.69,-0.32,-0.34
1899,-0.46,-0.63,-0.42,-0.29,-0.44,-0.58,-0.33,-0.3,-0.03,-0.3,-0.06,-0.25,-0.34,-0.34,-0.45,-0.39,-0.4,-0.13
1900,-0.58,-0.08,-0.2,-0.19,-0.21,-0.16,-0.39,-0.2,-0.11,0.11,-0.16,-0.1,-0.19,-0.2,-0.3,-0.2,-0.25,-0.05
1901,-0.29,-0.15,-0.15,-0.13,-0.26,-0.03,-0.3,-0.27,-0.03,-0.24,-0.18,-0.28,-0.19,-0.18,-0.18,-0.18,-0.2,-0.15
1902,-0.36,-0.07,-0.21,-0.23,-0.35,-0.41,-0.49,-0.54,-0.45,-0.49,-0.54,-0.61,-0.4,-0.37,-0.24,-0.26,-0.48,-0.49
1903,-0.39,-0.18,-0.23,-0.61,-0.5,-0.68,-0.35,-0.48,-0.45,-0.54,-0.52,-0.66,-0.47,-0.46,-0.39,-0.44,-0.5,-0.5
1904,-0.84,-0.8,-0.59,-0.5,-0.68,-0.53,-0.65,-0.54,-0.48,-0.57,-0.31,-0.45,-0.58,-0.6,-0.77,-0.59,-0.57,-0.45
1905,-0.45,-1.02,-0.26,-0.34,-0.38,-0.34,-0.47,-0.31,-0.24,-0.38,-0.1,-0.27,-0.38,-0.39,-0.64,-0.33,-0.37,-0.24
1906,-0.19,-0.38,-0.36,0.03,-0.23,-0.26,-0.26,-0.2,-0.33,-0.21,-0.56,-0.28,-0.27,-0.27,-0.28,-0.18,-0.24,-0.36
